"country","date","variable","value"
"Nicaragua",2020-03-01,"grocery and pharmacy",6
"Nicaragua",2020-02-29,"grocery and pharmacy",7
"Nicaragua",2020-02-28,"grocery and pharmacy",5
"Nicaragua",2020-02-27,"grocery and pharmacy",0
"Nicaragua",2020-02-26,"grocery and pharmacy",-5
"Nicaragua",2020-02-25,"grocery and pharmacy",-5
"Nicaragua",2020-02-24,"grocery and pharmacy",-2
"Nicaragua",2020-02-23,"grocery and pharmacy",0
"Nicaragua",2020-02-22,"grocery and pharmacy",0
"Nicaragua",2020-02-21,"grocery and pharmacy",0
"Nicaragua",2020-02-20,"grocery and pharmacy",0
"Nicaragua",2020-02-19,"grocery and pharmacy",-3
"Nicaragua",2020-02-18,"grocery and pharmacy",-4
"Nicaragua",2020-02-17,"grocery and pharmacy",1
"Nicaragua",2020-02-16,"grocery and pharmacy",5
"Nicaragua",2020-04-05,"parks",-25
"Nicaragua",2020-04-04,"parks",-20
"Nicaragua",2020-04-03,"parks",-16
"Nicaragua",2020-04-02,"parks",-17
"Nicaragua",2020-04-01,"parks",-18
"Nicaragua",2020-03-31,"parks",-18
"Nicaragua",2020-03-30,"parks",-20
"Nicaragua",2020-03-29,"parks",-31
"Nicaragua",2020-03-28,"parks",-28
"Nicaragua",2020-03-27,"parks",-24
"Nicaragua",2020-03-26,"parks",-23
"Nicaragua",2020-03-25,"parks",-22
"Nicaragua",2020-03-24,"parks",-21
"Nicaragua",2020-03-23,"parks",-20
"Nicaragua",2020-03-22,"parks",-31
"Nicaragua",2020-03-21,"parks",-27
"Nicaragua",2020-03-20,"parks",-18
"Nicaragua",2020-03-19,"parks",-13
"Nicaragua",2020-03-18,"parks",-6
"Nicaragua",2020-03-17,"parks",-4
"Nicaragua",2020-03-16,"parks",-2
"Nicaragua",2020-03-15,"parks",-1
"Nicaragua",2020-03-14,"parks",-1
"Nicaragua",2020-03-13,"parks",-1
"Nicaragua",2020-03-12,"parks",-2
"Nicaragua",2020-03-11,"parks",-3
"Nicaragua",2020-03-10,"parks",-3
"Nicaragua",2020-03-09,"parks",-2
"Nicaragua",2020-03-08,"parks",-2
"Nicaragua",2020-03-07,"parks",0
"Nicaragua",2020-03-06,"parks",1
"Nicaragua",2020-03-05,"parks",1
"Nicaragua",2020-03-04,"parks",1
"Nicaragua",2020-03-03,"parks",-1
"Nicaragua",2020-03-02,"parks",-1
"Nicaragua",2020-03-01,"parks",-1
"Nicaragua",2020-02-29,"parks",-1
"Nicaragua",2020-02-28,"parks",1
"Nicaragua",2020-02-27,"parks",-2
"Nicaragua",2020-02-26,"parks",-2
"Nicaragua",2020-02-25,"parks",0
"Nicaragua",2020-02-24,"parks",-1
"Nicaragua",2020-02-23,"parks",-2
"Nicaragua",2020-02-22,"parks",-2
"Nicaragua",2020-02-21,"parks",0
"Nicaragua",2020-02-20,"parks",2
"Nicaragua",2020-02-19,"parks",-1
"Nicaragua",2020-02-18,"parks",-1
"Nicaragua",2020-02-17,"parks",-1
"Nicaragua",2020-02-16,"parks",1
"Nicaragua",2020-04-05,"residential",9
"Nicaragua",2020-04-04,"residential",10
"Nicaragua",2020-04-03,"residential",9
"Nicaragua",2020-04-02,"residential",10
"Nicaragua",2020-04-01,"residential",9
"Nicaragua",2020-03-31,"residential",8
"Nicaragua",2020-03-30,"residential",9
"Nicaragua",2020-03-29,"residential",11
"Nicaragua",2020-03-28,"residential",11
"Nicaragua",2020-03-27,"residential",11
"Nicaragua",2020-03-26,"residential",11
"Nicaragua",2020-03-25,"residential",10
"Nicaragua",2020-03-24,"residential",9
"Nicaragua",2020-03-23,"residential",8
"Nicaragua",2020-03-22,"residential",10
"Nicaragua",2020-03-21,"residential",10
"Nicaragua",2020-03-20,"residential",6
"Nicaragua",2020-03-19,"residential",4
"Nicaragua",2020-03-18,"residential",1
"Nicaragua",2020-03-17,"residential",0
"Nicaragua",2020-03-16,"residential",-1
"Nicaragua",2020-03-15,"residential",0
"Nicaragua",2020-03-14,"residential",0
"Nicaragua",2020-03-13,"residential",-1
"Nicaragua",2020-03-12,"residential",-1
"Nicaragua",2020-03-11,"residential",-1
"Nicaragua",2020-03-10,"residential",-1
"Nicaragua",2020-03-09,"residential",-1
"Nicaragua",2020-03-08,"residential",0
"Nicaragua",2020-03-07,"residential",0
"Nicaragua",2020-03-06,"residential",-1
"Nicaragua",2020-03-05,"residential",-1
"Nicaragua",2020-03-04,"residential",-1
"Nicaragua",2020-03-03,"residential",-1
"Nicaragua",2020-03-02,"residential",-1
"Nicaragua",2020-03-01,"residential",-1
"Nicaragua",2020-02-29,"residential",0
"Nicaragua",2020-02-28,"residential",-1
"Nicaragua",2020-02-27,"residential",-1
"Nicaragua",2020-02-26,"residential",0
"Nicaragua",2020-02-25,"residential",-1
"Nicaragua",2020-02-24,"residential",0
"Nicaragua",2020-02-23,"residential",0
"Nicaragua",2020-02-22,"residential",1
"Nicaragua",2020-02-21,"residential",0
"Nicaragua",2020-02-20,"residential",-1
"Nicaragua",2020-02-19,"residential",0
"Nicaragua",2020-02-18,"residential",-1
"Nicaragua",2020-02-17,"residential",-1
"Nicaragua",2020-02-16,"residential",-1
"Nicaragua",2020-04-05,"retail and recreation",-40
"Nicaragua",2020-04-04,"retail and recreation",-33
"Nicaragua",2020-04-03,"retail and recreation",-27
"Nicaragua",2020-04-02,"retail and recreation",-30
"Nicaragua",2020-04-01,"retail and recreation",-29
"Nicaragua",2020-03-31,"retail and recreation",-28
"Nicaragua",2020-03-30,"retail and recreation",-29
"Nicaragua",2020-03-29,"retail and recreation",-45
"Nicaragua",2020-03-28,"retail and recreation",-40
"Nicaragua",2020-03-27,"retail and recreation",-36
"Nicaragua",2020-03-26,"retail and recreation",-36
"Nicaragua",2020-03-25,"retail and recreation",-35
"Nicaragua",2020-03-24,"retail and recreation",-33
"Nicaragua",2020-03-23,"retail and recreation",-29
"Nicaragua",2020-03-22,"retail and recreation",-42
"Nicaragua",2020-03-21,"retail and recreation",-37
"Nicaragua",2020-03-20,"retail and recreation",-25
"Nicaragua",2020-03-19,"retail and recreation",-19
"Nicaragua",2020-03-18,"retail and recreation",-11
"Nicaragua",2020-03-17,"retail and recreation",-6
"Nicaragua",2020-03-16,"retail and recreation",-3
"Nicaragua",2020-03-15,"retail and recreation",-1
"Nicaragua",2020-03-14,"retail and recreation",1
"Nicaragua",2020-03-13,"retail and recreation",0
"Nicaragua",2020-03-12,"retail and recreation",-3
"Nicaragua",2020-03-11,"retail and recreation",-4
